Runner,Game,Category,Run name,Run link
GoesOnGhost,Bloodborne,All Bosses,Bloodborne All Bosses No Hit – Arcane Only (World’s First),https://youtu.be/85xpZwzoUb8
GoesOnGhost,Bloodborne,All Bosses,Bloodborne All Bosses No Hit – Saw Spear (World’s First),https://www.youtube.com/watch?v=f5LPyMR1JOA&t=7s
GoesOnGhost,Bloodborne,All Bosses,Bloodborne All Bosses No Hit – BL4,https://www.youtube.com/watch?v=KbFkGFHrovI
GoesOnGhost,Bloodborne,All Bosses,Bloodborne All Bosses No Hit – Threaded Cane (World’s First),https://www.youtube.com/watch?v=jzavfsW-1EY
GoesOnGhost,Bloodborne,All Bosses + Chalices,Bloodborne All Bosses + Chalices No Hit (World’s First),https://youtu.be/wNcdC2GDAXI
GoesOnGhost,Demon's Souls Remake,Any%,Demon’s Souls Any% No Hit,https://youtu.be/v4aLzj36ilo
SPlaTTer1981,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://www.youtube.com/watch?v=re-kojC_h8U
ZCOLBSTER,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://www.twitch.tv/videos/255850617?filter=highlights&sort=time
SlipperySuzie,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://www.youtube.com/watch?v=a1xe3NhRpzY
SlipperySuzie,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=doay_z8xSxg
Angrish,Bloodborne,Any%,Bloodborne Any% No Hit,https://youtu.be/tpUNnbloHNQ
Angrish,Dark Souls III,Dark Souls III,Dark Souls III Any% No Hit,https://www.youtube.com/watch?v=LQU1RpSXdV4
JoeDD,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.twitch.tv/videos/285327416?filter=highlights&sort=time
Evorynn,Dark Souls,Any%,Dark Souls Any% No Hit,https://www.twitch.tv/videos/286522185?collection=FcWGyzy5QhW7mQ
emery222,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.twitch.tv/videos/286808499?filter=highlights&sort=views
TigerG92,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=dIlFqzTxPV0&list=PLrbTB0E4-MTWrRaMMKvgiqKq7cNEM-Vn5&index=9&t=0s
MezzPlays,Dark Souls,Any%,Dark Souls Any% No Hit,https://www.twitch.tv/videos/290067380?filter=highlights&sort=time
MezzPlays,Dark Souls II,Any%,Dark Souls II Any% No Hit,https://www.twitch.tv/videos/311192885?filter=highlights&sort=time
MezzPlays,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://www.twitch.tv/videos/304316230?filter=highlights&sort=time
MezzPlays,Dark Souls III,Any%,Dark Souls III Any% No Hit – Guitar Hero Controller (World’s First),https://www.twitch.tv/videos/673207289
